timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
815,55.76630333438516,12.559168618172407,2135.63,2.715,21.8,179,81,21,0.0
819,55.766393188387156,12.559176329523325,2145.64,2.715,22.0,181,81,21,0.0
823,55.7664929330349,12.559182113036513,2156.74,2.715,22.4,182,81,21,0.0
830,55.766646238043904,12.559228967875242,2173.99,2.706,23.2,181,82,21,0.0
833,55.766715221107006,12.55927531979978,2182.21,2.697,23.4,181,82,21,0.0
840,55.76686089858413,12.559410519897938,2200.38,2.687,24.2,179,82,21,0.5
843,55.76692543923855,12.559462655335665,2208.27,2.678,24.4,179,82,21,0.0
851,55.76711168512702,12.559586456045508,2230.36,2.678,25.2,178,82,21,0.0
852,55.76713657937944,12.559600621461868,2233.27,2.678,25.2,178,82,21,0.0
860,55.76732240617275,12.559699611738324,2254.9,2.706,25.6,178,80,21,0.5
862,55.76736909337342,12.559727607294917,2260.39,2.706,25.6,177,79,21,0.5
870,55.767551735043526,12.55984889343381,2282.12,2.687,25.8,177,81,21,0.0
872,55.767601523548365,12.559867333620787,2287.75,2.697,25.4,177,81,21,0.0
879,55.76777167618275,12.559986440464854,2308.16,2.725,25.0,176,82,21,0.0
881,55.767818531021476,12.560025751590729,2313.94,2.734,25.0,176,81,21,0.0
888,55.76796010136604,12.560217529535294,2333.88,2.762,24.2,175,82,21,0.0
890,55.767999831587076,12.56026765331626,2339.29,2.762,24.2,175,82,21,0.0
896,55.76812497340143,12.560385586693883,2355.11,2.771,24.0,174,82,21,0.5
903,55.768282720819116,12.560536796227098,2375.18,2.771,24.0,174,83,21,0.0
905,55.76834172941744,12.560551967471838,2381.8,2.771,24.0,173,82,21,0.0
912,55.768506936728954,12.560619693249464,2400.73,2.781,24.0,174,82,21,0.0
918,55.76866149902344,12.560662105679512,2418.17,2.79,24.0,177,84,21,0.0
921,55.76875302940607,12.560661938041449,2428.39,2.79,24.2,178,84,21,0.0
927,55.76891086064279,12.56077484227717,2447.48,2.799,24.0,174,84,21,0.0
928,55.76892971992493,12.560810213908553,2450.52,2.809,24.0,174,84,21,0.0
931,55.76896416954696,12.560822702944279,2455.4,2.818,24.0,172,83,21,0.0
932,55.76896165497601,12.560807783156633,2456.33,2.818,24.0,172,82,21,0.0
936,55.76885470189154,12.560762939974666,2468.4,2.361,23.6,172,80,21,0.0
945,55.76865630224347,12.560695381835103,2490.86,2.594,23.8,172,83,21,0.0
946,55.768631994724274,12.5606937892735,2493.58,2.594,24.0,172,83,21,0.0
953,55.768445413559675,12.560665206983685,2514.3,2.613,23.8,173,85,21,0.0
955,55.76837718486786,12.560648443177342,2521.91,2.622,23.8,173,84,21,0.0
961,55.768232848495245,12.560543166473508,2539.46,2.65,24.0,175,85,21,0.0
968,55.7680606842041,12.560421377420425,2560.18,2.706,24.0,175,81,21,0.0
969,55.768038807436824,12.560404697433114,2562.84,2.715,24.0,175,81,21,0.0
976,55.76791048049927,12.560188611969352,2582.85,2.734,24.0,174,82,21,0.0
977,55.767902014777064,12.560152988880873,2585.01,2.734,24.2,174,82,21,0.0
984,55.76774409972131,12.560001276433468,2605.01,2.734,24.4,176,82,21,0.0
985,55.76772775501013,12.559975292533636,2607.33,2.734,24.6,177,82,21,0.0
989,55.76765256933868,12.55988803692162,2617.2,2.706,25.4,176,81,21,0.0
995,55.76750320382416,12.559829615056515,2634.13,2.715,25.8,176,83,21,0.0
1000,55.7673788163811,12.559751328080893,2648.81,2.781,26.4,176,84,21,0.0
1007,55.76721344143152,12.559646302834153,2668.37,2.827,26.2,176,82,21,0.0
1014,55.76703557744622,12.5595523416996,2689.06,2.874,26.4,175,82,21,0.0
1015,55.767010850831866,12.55953767336905,2691.97,2.883,26.2,175,82,21,0.0
1018,55.766938934102654,12.559491405263543,2700.48,2.902,25.8,173,81,21,0.0
1022,55.766847152262926,12.559431809931993,2711.35,2.911,25.4,172,81,21,0.0
1029,55.76666995882988,12.559326868504286,2732.16,2.921,24.6,174,81,21,0.5
1033,55.76657775789499,12.559267859905958,2743.04,2.93,24.2,174,80,21,0.0
1038,55.7664477545768,12.559225028380752,2757.77,2.93,23.6,174,81,21,0.0
1042,55.76634742319584,12.559213042259216,2768.96,2.93,23.2,173,80,21,0.0
1045,55.76626980677247,12.559195859357715,2777.67,2.93,22.8,174,82,21,0.0
1048,55.76619151979685,12.55918093957007,2786.44,2.93,22.6,174,82,21,0.0
